Tagname;Timestamp;Value;Quality
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;13,83230305;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;10,49973297;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;7,165636539;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;3,833066225;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;0,498970002;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;2,665751219;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;5,999847412;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;9,332417488;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;12,6665144;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;15,99908447;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;19,33318138;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;22,6657505;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;25,99984741;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;29,33241844;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;32,66651535;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;35,99908447;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;39,33317947;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;42,66575241;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;45,99984741;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;49,33241653;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;52,66651535;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;55,99908447;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;59,33317947;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;62,66575241;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;65,99984741;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;69,33242035;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;72,66651154;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;75,99908447;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;79,33318329;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;82,6657486;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;85,99984741;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;89,33242035;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;92,66651154;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;95,99908447;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;99,33318329;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;97,49904633;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;94,16647339;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;90,8323822;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;87,49980927;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;84,16571045;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;80,83314514;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;77,49904633;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;74,33280182;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;70,998703;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;67,66613007;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;64,33203888;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;60,99946594;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;57,66537094;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;54,332798;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;50,998703;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;47,66613388;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;44,33203506;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;40,99946594;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;37,66537094;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;34,332798;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;30,998703;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;27,66613197;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;24,33203697;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:06;20,99946594;Good
